payment_id,order_id,payment_date,payment_method,payment_status,amount_paid_gbp,refund_amount_gbp
115,115,2024-05-30 15:00:00,Buy Now Pay Later,Refunded,335.32,335.32
116,116,2024-09-20 10:00:00,Google Pay,Paid,141.63,0.0
117,117,2025-06-21 05:00:00,Google Pay,Paid,137.3,0.0
118,118,2024-02-24 15:00:00,Apple Pay,Paid,154.18,0.0
119,119,2024-10-17 02:00:00,Buy Now Pay Later,Paid,112.4,0.0
120,120,2024-02-23 10:00:00,Google Pay,Paid,117.72,0.0
121,121,2024-07-01 11:00:00,Buy Now Pay Later,Paid,147.98,0.0
122,122,2024-12-07 22:00:00,Apple Pay,Refunded,70.51,70.51
123,123,2024-12-17 21:00:00,Google Pay,Paid,493.7,0.0
124,124,2024-01-29 04:00:00,Google Pay,Paid,241.49,0.0
125,125,2024-08-25 05:00:00,Card,Paid,434.86,0.0
126,126,2024-10-26 04:00:00,Google Pay,Paid,172.7,0.0
127,127,2024-08-10 00:00:00,Buy Now Pay Later,Paid,437.98,0.0
128,128,2024-03-27 16:00:00,Google Pay,Paid,55.33,0.0
129,129,2024-11-22 10:00:00,PayPal,Paid,52.94,0.0
130,130,2024-10-21 05:00:00,PayPal,Paid,162.92,0.0
131,131,2024-01-01 05:00:00,Google Pay,Paid,605.56,0.0
132,132,2025-12-05 12:00:00,PayPal,Paid,121.32,0.0
133,133,2024-01-17 12:00:00,Apple Pay,Paid,349.3,0.0
134,134,2024-10-16 06:00:00,Card,Paid,575.94,0.0
135,135,2024-03-07 15:00:00,PayPal,Paid,142.22,0.0
136,136,2025-05-23 13:00:00,Google Pay,Paid,63.16,0.0
137,137,2024-09-28 12:00:00,Buy Now Pay Later,Paid,111.45,0.0
138,138,2025-10-04 08:00:00,Buy Now Pay Later,Paid,370.85,0.0
139,139,2025-11-21 05:00:00,Buy Now Pay Later,Paid,74.28,0.0
140,140,2025-08-15 21:00:00,PayPal,Paid,288.96,0.0
141,141,2025-07-03 21:00:00,Apple Pay,Paid,35.41,0.0
142,142,2024-10-14 19:00:00,Buy Now Pay Later,Paid,44.73,0.0
143,143,2025-10-19 08:00:00,Card,Paid,24.54,0.0
144,144,2024-11-16 01:00:00,PayPal,Paid,242.53,0.0
145,145,2025-03-20 12:00:00,Buy Now Pay Later,Paid,168.72,0.0
146,146,2024-11-08 20:00:00,Buy Now Pay Later,Paid,75.57,0.0
147,147,2025-08-27 10:00:00,Card,Paid,98.2,0.0
148,148,2024-07-11 23:00:00,Google Pay,Paid,573.66,0.0
149,149,2025-10-22 00:00:00,Apple Pay,Paid,97.89,0.0
150,150,2024-12-20 08:00:00,PayPal,Paid,88.75,0.0
151,151,2024-07-21 11:00:00,Buy Now Pay Later,Paid,154.78,0.0
152,152,2024-08-22 14:00:00,Buy Now Pay Later,Paid,99.95,0.0
153,153,2024-12-27 10:00:00,Buy Now Pay Later,Paid,140.91,0.0
154,154,2024-06-16 08:00:00,Buy Now Pay Later,Refunded,93.3,93.3
155,155,2025-08-17 09:00:00,Buy Now Pay Later,Paid,134.34,0.0
156,156,2024-10-29 01:00:00,Buy Now Pay Later,Paid,52.91,0.0
157,157,2025-01-15 10:00:00,Apple Pay,Paid,60.42,0.0
158,158,2024-12-29 23:00:00,Card,Paid,53.05,0.0
159,159,2024-10-19 12:00:00,Google Pay,Partially Refunded,192.92,98.7
160,160,2024-05-17 09:00:00,PayPal,Paid,252.65,0.0
161,161,2024-03-07 12:00:00,PayPal,Failed,0.0,0.0
162,162,2024-12-11 10:00:00,Apple Pay,Paid,209.31,0.0
163,163,2025-10-30 21:00:00,Google Pay,Paid,68.71,0.0
164,164,2025-12-27 02:00:00,Google Pay,Paid,21.94,0.0
165,165,2025-02-06 05:00:00,Google Pay,Paid,187.74,0.0
166,166,2025-02-05 22:00:00,Apple Pay,Paid,340.79,0.0
167,167,2025-10-01 13:00:00,Buy Now Pay Later,Paid,123.22,0.0
168,168,2024-12-22 09:00:00,Card,Paid,87.2,0.0
169,169,2025-04-07 17:00:00,Card,Paid,775.18,0.0
170,170,2025-12-11 22:00:00,Buy Now Pay Later,Paid,270.74,0.0
171,171,2024-08-27 01:00:00,Buy Now Pay Later,Paid,71.08,0.0
172,172,2025-10-11 16:00:00,Apple Pay,Paid,73.45,0.0
173,173,2025-10-21 03:00:00,Google Pay,Paid,142.16,0.0
174,174,2025-10-16 04:00:00,PayPal,Failed,0.0,0.0
175,175,2024-02-27 06:00:00,Apple Pay,Failed,0.0,0.0
176,176,2024-05-14 22:00:00,Apple Pay,Paid,202.92,4.8
177,177,2024-01-19 11:00:00,Card,Paid,52.88,0.0
178,178,2025-04-06 12:00:00,Card,Paid,673.18,0.0
179,179,2025-04-02 15:00:00,PayPal,Paid,229.81,0.0
180,180,2024-11-28 18:00:00,Google Pay,Paid,371.28,0.0
181,181,2024-11-15 14:00:00,PayPal,Paid,81.93,0.0
182,182,2024-11-27 16:00:00,Buy Now Pay Later,Paid,328.16,0.0
183,183,2024-03-29 17:00:00,Card,Paid,47.48,0.0
184,184,2024-12-30 17:00:00,Buy Now Pay Later,Paid,145.3,0.0
185,185,2025-04-16 23:00:00,Buy Now Pay Later,Paid,159.15,0.0
186,186,2025-12-29 22:00:00,PayPal,Paid,142.69,0.0
187,187,2025-01-23 14:00:00,Card,Paid,394.23,0.0
188,188,2024-06-29 03:00:00,Card,Paid,445.42,0.0
189,189,2024-02-07 01:00:00,Buy Now Pay Later,Paid,182.3,0.0
190,190,2024-05-15 20:00:00,Apple Pay,Paid,143.7,0.0
191,191,2025-12-30 22:00:00,PayPal,Paid,98.34,0.0
192,192,2025-06-18 03:00:00,Card,Paid,338.97,0.0
193,193,2025-06-03 14:00:00,Google Pay,Failed,0.0,0.0
194,194,2025-06-03 07:00:00,Card,Paid,72.04,0.0
195,195,2025-09-27 17:00:00,PayPal,Paid,29.9,0.0
196,196,2025-07-03 00:00:00,PayPal,Paid,491.42,0.0
197,197,2024-06-28 03:00:00,Apple Pay,Paid,53.35,0.0
198,198,2025-02-14 20:00:00,Buy Now Pay Later,Paid,255.17,0.0
199,199,2025-10-25 12:00:00,Google Pay,Paid,323.6,0.0
200,200,2024-08-25 04:00:00,Apple Pay,Paid,466.65,0.0
201,201,2024-11-10 10:00:00,Apple Pay,Failed,0.0,0.0
202,202,2024-06-22 13:00:00,,Paid,220.92,0.0
203,203,2025-10-06 20:00:00,Apple Pay,Paid,243.29,0.0
204,204,2024-04-02 10:00:00,Google Pay,Paid,397.07,0.0
205,205,2024-06-07 17:00:00,Buy Now Pay Later,Paid,443.24,0.0
206,206,2024-02-08 13:00:00,Buy Now Pay Later,Paid,103.29,0.0
207,207,2024-07-19 18:00:00,Buy Now Pay Later,Failed,0.0,0.0
208,208,2025-05-03 13:00:00,Google Pay,Partially Refunded,171.04,112.84
209,209,2025-02-21 16:00:00,Google Pay,Paid,84.22,0.0
210,210,2024-03-01 04:00:00,Apple Pay,Paid,173.66,0.0
211,211,2025-09-21 12:00:00,Buy Now Pay Later,Paid,187.48,0.0
212,212,2024-06-05 13:00:00,PayPal,Paid,43.89,0.0
213,213,2024-10-22 03:00:00,Card,Paid,147.74,0.0
214,214,2024-06-10 12:00:00,Buy Now Pay Later,Paid,55.64,0.0
215,215,2024-01-27 16:00:00,Buy Now Pay Later,Paid,111.01,0.0
216,216,2024-10-15 23:00:00,PayPal,Paid,94.89,0.0
217,217,2025-05-31 17:00:00,Buy Now Pay Later,Paid,115.02,0.0
218,218,2024-12-18 12:00:00,Card,Paid,26.29,0.0
219,219,2024-10-04 10:00:00,Card,Paid,166.45,0.0
220,220,2025-05-02 05:00:00,Apple Pay,Paid,213.53,0.0
221,221,2025-12-03 17:00:00,Buy Now Pay Later,Paid,77.49,0.0
222,222,2024-06-30 04:00:00,PayPal,Paid,284.13,0.0
223,223,2025-12-11 03:00:00,Apple Pay,Paid,118.38,0.0
224,224,2025-11-15 20:00:00,Google Pay,Paid,351.26,0.0
225,225,2024-10-27 22:00:00,Card,Paid,122.96,0.0
226,226,2024-02-20 16:00:00,Buy Now Pay Later,Paid,389.44,0.0
227,227,2024-01-09 22:00:00,Apple Pay,Paid,364.11,0.0
228,228,2025-10-02 06:00:00,Buy Now Pay Later,Paid,618.65,0.0
229,229,2025-07-02 12:00:00,Apple Pay,Paid,322.55,0.0
230,230,2025-03-28 12:00:00,Google Pay,Paid,501.01,0.0
231,231,2025-11-17 06:00:00,PayPal,Paid,88.63,0.0
232,232,2024-09-20 22:00:00,PayPal,Paid,243.94,0.0
233,233,2024-10-26 00:00:00,PayPal,Partially Refunded,189.86,39.94
234,234,2024-06-14 02:00:00,Card,Paid,34.2,0.0
235,235,2025-07-24 13:00:00,Google Pay,Paid,309.9,0.0
236,236,2024-10-04 11:00:00,Card,Paid,136.8,0.0
237,237,2025-07-25 22:00:00,Google Pay,Paid,14.41,0.0
238,238,2024-09-11 09:00:00,Buy Now Pay Later,Paid,30.99,0.0
239,239,2024-09-14 11:00:00,Apple Pay,Paid,84.5,0.0
240,240,2024-11-17 07:00:00,Google Pay,Paid,145.01,0.0
241,241,2025-01-06 01:00:00,PayPal,Paid,349.19,0.0
242,242,2025-09-22 05:00:00,Buy Now Pay Later,Paid,64.43,0.0
243,243,2025-09-29 15:00:00,Google Pay,Paid,573.46,0.0
244,244,2025-05-11 14:00:00,Google Pay,Paid,51.41,0.0
245,245,2025-04-11 08:00:00,Buy Now Pay Later,Paid,50.76,0.0
246,246,2025-11-19 14:00:00,Card,Paid,185.29,0.0
247,247,2025-07-25 02:00:00,Card,Paid,388.0,0.0
248,248,2024-10-28 23:00:00,Card,Paid,787.52,0.0
249,249,2024-03-18 11:00:00,Buy Now Pay Later,Paid,85.63,0.0
250,250,2025-08-12 21:00:00,Apple Pay,Refunded,83.76,83.76
251,251,2025-09-30 07:00:00,Apple Pay,Paid,410.13,0.0
252,252,2025-06-28 08:00:00,Buy Now Pay Later,Paid,503.67,0.0
253,253,2024-05-21 12:00:00,PayPal,Failed,0.0,0.0
254,254,2025-12-26 19:00:00,Apple Pay,Paid,290.15,0.0
255,255,2025-01-19 20:00:00,Google Pay,Paid,240.31,0.0
256,256,2024-11-27 15:00:00,PayPal,Paid,66.04,0.0
257,257,2025-11-09 18:00:00,Card,Failed,0.0,0.0
258,258,2025-09-03 05:00:00,PayPal,Paid,235.09,0.0
259,259,2025-04-03 10:00:00,PayPal,Paid,400.95,0.0
260,260,2025-07-04 12:00:00,Buy Now Pay Later,Paid,249.4,0.0
261,261,2024-06-07 03:00:00,PayPal,Paid,171.84,0.0
262,262,2024-06-07 17:00:00,Google Pay,Paid,147.59,0.0
263,263,2025-07-16 10:00:00,Apple Pay,Paid,13.71,0.0
264,264,2025-03-04 14:00:00,Apple Pay,Paid,283.54,0.0
265,265,2025-08-13 00:00:00,PayPal,Paid,193.33,0.0
266,266,2024-10-20 21:00:00,Google Pay,Paid,199.7,0.0
267,267,2025-04-07 09:00:00,Google Pay,Paid,291.45,0.0
268,268,2024-11-14 09:00:00,Card,Paid,128.03,0.0
269,269,2024-06-03 00:00:00,Card,Paid,27.77,0.0
270,270,2025-03-06 12:00:00,Apple Pay,Paid,680.0,0.0
271,271,2025-11-20 04:00:00,Apple Pay,Paid,80.1,0.0
272,272,2024-03-11 08:00:00,PayPal,Paid,138.12,0.0
273,273,2025-10-23 00:00:00,Buy Now Pay Later,Paid,122.1,0.0
274,274,2025-12-15 21:00:00,Google Pay,Paid,113.38,0.0
275,275,2024-11-21 14:00:00,Card,Paid,177.81,0.0
276,276,2025-01-16 12:00:00,Google Pay,Paid,243.45,0.0
277,277,2024-08-05 10:00:00,Apple Pay,Paid,181.56,0.0
278,278,2024-09-04 19:00:00,Card,Paid,359.56,0.0
279,279,2025-12-13 13:00:00,Card,Failed,0.0,0.0
280,280,2025-11-25 02:00:00,Card,Paid,558.67,0.0
281,281,2025-01-21 07:00:00,Card,Paid,116.37,0.0
282,282,2024-02-28 19:00:00,PayPal,Paid,373.84,0.0
283,283,2025-12-01 01:00:00,Buy Now Pay Later,Paid,53.86,0.0
284,284,2024-02-12 06:00:00,Google Pay,Paid,96.42,0.0
285,285,2025-12-08 10:00:00,Google Pay,Partially Refunded,150.49,40.49
286,286,2025-05-22 02:00:00,Apple Pay,Paid,201.17,0.0
287,287,2025-05-30 21:00:00,Apple Pay,Paid,432.7,0.0
288,288,2025-08-14 10:00:00,Apple Pay,Paid,279.32,0.0
289,289,2025-11-28 21:00:00,Card,Paid,200.76,0.0
290,290,2024-05-17 17:00:00,Google Pay,Paid,49.56,0.0
291,291,2024-12-06 01:00:00,Google Pay,Paid,160.04,0.0
292,292,2025-07-19 15:00:00,Google Pay,Paid,32.04,0.0
293,293,2024-04-13 09:00:00,Card,Paid,49.59,0.0
294,294,2025-07-28 02:00:00,PayPal,Paid,212.27,0.0
295,295,2024-03-21 10:00:00,Google Pay,Paid,292.66,0.0
296,296,2025-01-24 19:00:00,Card,Failed,0.0,0.0
297,297,2024-09-23 12:00:00,Google Pay,Paid,257.32,0.0
298,298,2024-12-30 15:00:00,Card,Paid,317.77,0.0
299,299,2024-06-21 19:00:00,Google Pay,Paid,310.42,0.0
300,300,2025-05-29 13:00:00,Buy Now Pay Later,Paid,490.75,0.0
301,301,2024-04-17 04:00:00,Apple Pay,Paid,326.56,0.0
302,302,2025-02-11 14:00:00,Card,Paid,690.63,0.0
303,303,2025-10-16 10:00:00,Apple Pay,Paid,719.42,0.0
304,304,2024-06-08 04:00:00,PayPal,Paid,426.34,0.0
305,305,2025-04-12 00:00:00,Google Pay,Paid,90.86,0.0
306,306,2024-05-05 16:00:00,Card,Paid,442.03,0.0
307,307,2024-09-08 02:00:00,PayPal,Paid,359.89,0.0
308,308,2024-12-22 14:00:00,PayPal,Paid,185.55,0.0
309,309,2024-07-16 05:00:00,Card,Paid,149.4,0.0
310,310,2025-12-02 15:00:00,Apple Pay,Paid,59.23,0.0
311,311,2024-11-27 00:00:00,PayPal,Paid,93.98,0.0
312,312,2024-12-25 10:00:00,Buy Now Pay Later,Refunded,300.19,300.19
313,313,2025-07-19 13:00:00,PayPal,Paid,213.17,0.0
314,314,2025-04-10 06:00:00,Card,Paid,195.9,0.0
315,315,2024-12-16 18:00:00,Card,Failed,0.0,0.0
316,316,2025-10-25 12:00:00,PayPal,Paid,150.56,0.0
317,317,2024-03-16 22:00:00,PayPal,Paid,262.49,0.0
318,318,2025-12-26 17:00:00,Card,Paid,105.48,0.0
319,319,2024-04-16 10:00:00,PayPal,Paid,61.93,0.0
320,320,2025-02-10 10:00:00,Card,Paid,64.5,0.0
321,321,2024-09-26 12:00:00,Google Pay,Paid,194.23,0.0
322,322,2025-12-02 11:00:00,Buy Now Pay Later,Refunded,50.2,50.2
323,323,2025-09-24 08:00:00,Buy Now Pay Later,Paid,482.13,0.0
324,324,2024-11-22 22:00:00,PayPal,Paid,198.69,0.0
325,325,2025-11-14 09:00:00,Card,Paid,124.54,0.0
326,326,2024-04-20 17:00:00,PayPal,Paid,117.61,0.0
327,327,2024-03-18 11:00:00,Apple Pay,Paid,143.42,0.0
328,328,2024-03-22 05:00:00,PayPal,Paid,281.51,0.0
329,329,2024-01-17 21:00:00,Card,Failed,0.0,0.0
330,330,2024-03-01 21:00:00,Card,Paid,27.56,0.0
331,331,2024-06-13 05:00:00,Buy Now Pay Later,Paid,239.56,0.0
332,332,2025-09-02 21:00:00,Google Pay,Paid,244.96,0.0
333,333,2025-07-11 05:00:00,Google Pay,Paid,51.14,0.0
334,334,2025-02-15 03:00:00,Buy Now Pay Later,Paid,686.51,0.0
335,335,2025-08-24 16:00:00,PayPal,Refunded,156.33,156.33
336,336,2024-06-17 07:00:00,Google Pay,Paid,294.2,0.0
337,337,2024-12-02 04:00:00,Card,Paid,98.75,0.0
338,338,2025-02-26 19:00:00,Card,Paid,182.91,0.0
339,339,2025-11-30 06:00:00,PayPal,Paid,131.95,0.0
340,340,2024-03-09 03:00:00,PayPal,Paid,107.7,0.0
341,341,2024-10-31 12:00:00,PayPal,Paid,296.82,0.0
342,342,2025-03-08 10:00:00,Google Pay,Paid,366.82,0.0
343,343,2025-02-04 00:00:00,Card,Paid,389.52,0.0
344,344,2024-12-25 18:00:00,Google Pay,Paid,138.16,0.0
345,345,2025-12-25 11:00:00,Buy Now Pay Later,Paid,55.99,0.0
346,346,2024-12-16 07:00:00,Card,Paid,214.46,0.0
347,347,2024-04-02 20:00:00,Card,Paid,164.76,18.76
348,348,2024-06-06 09:00:00,Google Pay,Paid,112.5,0.0
349,349,2024-04-20 04:00:00,PayPal,Paid,123.82,0.0
350,350,2024-10-02 09:00:00,Buy Now Pay Later,Paid,199.41,0.0
351,351,2025-11-06 08:00:00,Google Pay,Paid,86.04,0.0
352,352,2024-08-07 20:00:00,Apple Pay,Refunded,132.48,132.48
353,353,2024-09-15 18:00:00,Apple Pay,Paid,307.47,0.0
354,354,2025-04-23 11:00:00,Buy Now Pay Later,Paid,20.13,0.0
355,355,2025-07-15 11:00:00,PayPal,Paid,79.39,0.0
356,356,2024-08-29 07:00:00,Google Pay,Paid,293.56,0.0
357,357,2025-08-29 16:00:00,Buy Now Pay Later,Paid,185.54,0.0
358,358,2025-05-02 23:00:00,Buy Now Pay Later,Paid,364.89,0.0
359,359,2024-12-31 14:00:00,Buy Now Pay Later,Paid,128.7,0.0
360,360,2025-05-14 10:00:00,Card,Paid,863.98,0.0
361,361,2025-10-23 09:00:00,Google Pay,Paid,251.16,0.0
362,362,2024-10-22 07:00:00,Google Pay,Paid,423.76,0.0
363,363,2025-07-15 09:00:00,Google Pay,Paid,250.4,0.0
364,364,2025-06-22 17:00:00,Card,Paid,164.16,0.0
365,365,2025-08-21 10:00:00,Google Pay,Paid,29.86,0.0
366,366,2024-05-12 16:00:00,Card,Paid,74.99,0.0
367,367,2024-10-11 18:00:00,Apple Pay,Paid,20.2,0.0
368,368,2025-04-22 14:00:00,Buy Now Pay Later,Paid,77.88,0.0
369,369,2024-04-22 20:00:00,Google Pay,Paid,143.75,0.0
370,370,2025-11-10 02:00:00,Google Pay,Paid,29.12,0.0
371,371,2025-06-11 10:00:00,Card,Paid,318.78,0.0
372,372,2025-07-28 21:00:00,Apple Pay,Paid,342.35,0.0
373,373,2025-08-02 11:00:00,Google Pay,Paid,142.02,0.0
374,374,2025-03-10 19:00:00,Card,Paid,37.38,0.0
375,375,2024-06-02 16:00:00,Apple Pay,Paid,290.9,0.0
376,376,2024-04-04 13:00:00,Card,Paid,233.02,0.0
377,377,2025-01-22 15:00:00,Card,Paid,211.18,0.0
378,378,2025-04-04 03:00:00,PayPal,Paid,25.09,0.0
379,379,2024-10-07 20:00:00,PayPal,Paid,208.76,0.0
380,380,2024-02-29 19:00:00,Card,Paid,709.43,0.0
381,381,2025-11-04 14:00:00,Buy Now Pay Later,Paid,316.65,0.0
382,382,2025-12-30 07:00:00,Card,Paid,51.79,0.0
383,383,2024-11-27 22:00:00,PayPal,Paid,122.21,0.0
384,384,2024-07-28 03:00:00,Card,Paid,65.02,0.0
385,385,2025-11-20 10:00:00,PayPal,Paid,182.29,0.0
386,386,2024-02-22 04:00:00,Card,Paid,92.94,0.0
387,387,2025-08-22 20:00:00,Google Pay,Paid,104.94,0.0
388,388,2025-06-02 03:00:00,Card,Paid,111.97,0.0
389,389,2025-07-30 06:00:00,Buy Now Pay Later,Paid,81.7,0.0
390,390,2024-08-03 20:00:00,Buy Now Pay Later,Paid,60.27,0.0
391,391,2025-08-08 02:00:00,Buy Now Pay Later,Failed,0.0,0.0
392,392,2024-01-04 08:00:00,Apple Pay,Paid,372.5,0.0
393,393,2024-09-25 04:00:00,PayPal,Paid,145.19,0.0
