shipment_id,order_id,carrier,shipped_date,delivered_date,delivery_service,shipment_status
71,76,Evri,2024-05-31,2024-06-02,Standard,Delayed
72,77,DPD,2024-05-15,,Click & Collect,Delivered
73,78,Evri,2024-08-17,2024-08-24,Click & Collect,Delivered
74,79,Royal Mail,2024-08-13,2024-08-14,Next Day,Delivered
75,80,Royal Mail,2025-07-30,2025-07-31,Next Day,In Transit
76,81,Royal Mail,2025-03-27,2025-03-29,Next Day,Delivered
77,82,DPD,2025-11-23,2025-11-26,Click & Collect,Delivered
78,83,Royal Mail,2024-08-23,2024-08-24,Next Day,Delivered
79,84,Royal Mail,2024-09-05,2024-09-06,Standard,Delivered
80,85,Yodel,2024-04-19,2024-04-22,Click & Collect,In Transit
81,86,DPD,2024-02-16,2024-02-17,Next Day,Delivered
82,87,Yodel,2024-12-06,2024-12-07,Click & Collect,Delivered
83,88,Royal Mail,2025-03-16,2025-03-18,Next Day,Delivered
84,89,DPD,2024-08-27,2024-08-28,Click & Collect,Delivered
85,90,Evri,2025-10-02,2025-10-03,Click & Collect,Delivered
86,92,DPD,2024-12-26,2024-12-27,Standard,Delivered
87,93,DPD,2025-04-18,2025-04-19,Next Day,Delayed
88,94,Evri,2024-12-23,2024-12-24,Next Day,Delivered
89,95,Evri,2024-07-02,2024-07-04,Next Day,Delivered
90,96,DPD,2025-01-16,2025-01-17,Next Day,In Transit
91,97,Evri,2025-08-20,2025-08-23,Standard,Delivered
92,98,Evri,2025-08-27,2025-08-29,Standard,Delivered
93,99,Evri,2025-03-09,2025-03-11,Next Day,Delivered
94,100,Royal Mail,2024-09-10,2024-09-13,Standard,In Transit
95,101,DPD,2025-05-02,2025-05-03,Next Day,Delivered
96,102,DPD,2025-12-08,2025-12-10,Next Day,Delivered
97,103,Evri,2025-08-13,2025-08-14,Standard,Delivered
98,104,DPD,2024-12-01,2024-12-02,Click & Collect,Delayed
99,105,Royal Mail,2025-12-27,2025-12-31,Next Day,In Transit
100,106,Yodel,2025-07-23,2025-07-25,Click & Collect,Delivered
101,107,Evri,2024-06-10,,Next Day,Delivered
102,108,Yodel,2025-05-23,2025-05-24,Standard,In Transit
103,109,Evri,2025-09-10,2025-09-13,Standard,Lost
104,110,DPD,2025-03-10,2025-03-13,Next Day,Delivered
105,111,Evri,2025-04-18,2025-04-19,Next Day,Delivered
106,112,Yodel,2025-05-24,2025-05-25,Next Day,Delayed
107,113,DPD,2025-02-25,2025-02-27,Next Day,Delivered
108,114,Evri,2024-06-22,2024-06-24,Click & Collect,Delayed
109,116,Royal Mail,2024-09-27,2024-09-28,Click & Collect,Delivered
110,117,Royal Mail,2025-06-23,2025-06-24,Standard,Lost
111,118,DPD,2024-02-26,2024-02-28,Next Day,Delivered
112,119,Royal Mail,2024-10-18,2024-10-20,Click & Collect,Delayed
113,120,Royal Mail,2024-02-22,2024-03-01,Click & Collect,Delivered
114,121,Royal Mail,2024-07-04,2024-07-06,Standard,Delivered
115,123,Royal Mail,2024-12-22,,Standard,Delivered
116,124,Evri,2024-01-31,2024-02-02,Next Day,Delivered
117,125,Royal Mail,2024-09-02,,Standard,Delivered
118,126,DPD,2024-11-02,2024-11-05,Standard,Delivered
119,127,Yodel,2024-08-17,2024-08-18,Click & Collect,In Transit
120,128,Yodel,2024-03-26,2024-03-28,Standard,Delayed
121,129,DPD,2024-11-22,2024-11-23,Click & Collect,In Transit
122,130,Royal Mail,2024-10-24,2024-10-26,Next Day,Delivered
123,131,DPD,2024-01-06,2024-01-07,Click & Collect,Delayed
124,132,Royal Mail,2025-12-06,2025-12-07,Standard,Delivered
125,133,Royal Mail,2024-01-16,2024-01-17,Next Day,Delivered
126,134,Yodel,2024-10-19,2024-10-20,Standard,Delivered
127,135,Yodel,2024-03-06,2024-03-09,Next Day,In Transit
128,136,Yodel,2025-05-29,,Standard,Delivered
129,137,Royal Mail,2024-09-28,2024-09-30,Standard,Delivered
130,138,DPD,2025-10-04,2025-10-05,Click & Collect,Delivered
131,139,Evri,2025-11-21,2025-11-22,Standard,Delivered
132,140,Evri,2025-08-21,2025-08-22,Standard,Delivered
133,141,Royal Mail,2025-07-04,,Standard,Delivered
134,142,DPD,2024-10-16,,Next Day,Delivered
135,143,Royal Mail,2025-10-17,2025-10-24,Next Day,Delivered
136,144,Evri,2024-11-18,2024-11-19,Click & Collect,Delivered
137,145,Evri,2025-03-20,2025-03-21,Next Day,Delivered
138,146,DPD,2024-11-08,2024-11-10,Standard,Delivered
139,147,DPD,2025-08-27,2025-08-28,Next Day,Delivered
140,148,Royal Mail,2024-07-14,2024-07-16,Next Day,Delivered
141,149,DPD,2025-10-24,2025-10-25,Click & Collect,Delivered
142,150,Royal Mail,2024-12-21,,Standard,Delivered
143,151,Royal Mail,2024-07-25,2024-07-26,Next Day,Delivered
144,152,DPD,2024-08-22,2024-08-24,Next Day,In Transit
145,153,DPD,2024-12-30,2024-12-31,Next Day,Delivered
146,155,DPD,2025-08-17,2025-08-18,Standard,Delivered
147,156,Yodel,2024-11-01,2024-11-02,Next Day,Delivered
148,157,Evri,2025-01-17,2025-01-21,Standard,Delivered
149,158,Evri,2024-12-30,2025-01-01,Click & Collect,In Transit
150,159,Yodel,2024-10-23,2024-10-24,Standard,Delivered
151,160,Royal Mail,2024-05-19,2024-05-20,Click & Collect,Delivered
152,161,DPD,2024-03-10,2024-03-11,Next Day,In Transit
153,162,DPD,2024-12-23,2024-12-24,Standard,Delivered
154,163,Royal Mail,2025-11-01,2025-11-02,Standard,Delivered
155,164,Yodel,2025-12-30,2026-01-01,Standard,Delivered
156,165,DPD,2025-02-08,2025-02-10,Next Day,Delayed
157,166,DPD,2025-02-06,2025-02-07,Click & Collect,Delivered
158,167,DPD,2025-10-04,,Next Day,Delivered
159,168,Evri,2024-12-26,,Next Day,Delivered
160,169,DPD,2025-04-07,2025-04-08,Next Day,Delivered
161,170,Evri,2025-12-11,2025-12-13,Click & Collect,Delivered
162,171,Royal Mail,2024-08-30,2024-08-31,Next Day,Delivered
163,172,Royal Mail,2025-10-10,2025-10-14,Next Day,Delivered
164,173,Royal Mail,2025-10-22,2025-10-23,Next Day,Delivered
165,174,DPD,2025-10-18,2025-10-21,Next Day,Delivered
166,175,Evri,2024-02-29,2024-03-01,Click & Collect,Delivered
167,176,Royal Mail,2024-05-16,2024-05-20,Standard,Delivered
168,177,Yodel,2024-01-26,2024-01-28,Click & Collect,Delivered
169,178,Yodel,2025-04-07,2025-04-08,Click & Collect,Delivered
170,179,Evri,2025-04-02,2025-04-03,Next Day,Delivered
171,180,DPD,2024-12-07,2024-12-08,Next Day,Delivered
172,181,Royal Mail,2024-11-16,2024-11-17,Click & Collect,In Transit
173,182,Royal Mail,2024-12-06,2024-12-08,Standard,Delivered
174,183,Royal Mail,2024-03-29,2024-03-30,Next Day,Delivered
175,184,DPD,2025-01-03,2025-01-04,Standard,Delivered
176,185,DPD,2025-04-20,2025-04-24,Click & Collect,Delayed
177,186,DPD,2025-12-29,2026-01-01,Next Day,In Transit
178,187,DPD,2025-01-24,2025-01-26,Standard,In Transit
179,188,Royal Mail,2024-06-30,2024-07-01,Standard,Delivered
180,189,DPD,2024-02-08,2024-02-10,Click & Collect,Delivered
181,190,DPD,2024-05-19,2024-05-22,Standard,Delivered
182,191,Royal Mail,2026-01-03,2026-01-07,Next Day,In Transit
183,192,Evri,2025-06-18,2025-06-19,Standard,Delivered
184,194,Royal Mail,2025-06-07,2025-06-08,Next Day,Delivered
185,195,Yodel,2025-09-26,2025-09-28,Click & Collect,Delivered
186,196,Royal Mail,2025-07-04,2025-07-05,Next Day,Delivered
187,197,Yodel,2024-06-30,2024-07-02,Next Day,Delivered
188,198,DPD,2025-02-15,2025-02-19,Next Day,Delivered
189,199,Evri,2025-10-25,2025-10-27,Click & Collect,Delivered
190,200,DPD,2024-08-28,2024-08-30,Next Day,Delayed
191,202,Yodel,2024-06-24,2024-06-25,Standard,Delivered
192,203,DPD,2025-10-05,2025-10-07,Click & Collect,Delivered
193,204,Royal Mail,2024-04-05,2024-04-06,Next Day,Delivered
194,205,Royal Mail,2024-06-11,,Next Day,Delivered
195,206,Yodel,2024-02-10,2024-02-11,Next Day,Delivered
196,208,Evri,2025-05-04,2025-05-06,Click & Collect,Delivered
197,209,Yodel,2025-02-22,2025-02-24,Standard,Delivered
198,210,Evri,2024-03-06,2024-03-07,Click & Collect,Delivered
199,211,Yodel,2025-09-21,2025-09-24,Next Day,Delivered
200,212,Evri,2024-06-05,2024-06-07,Click & Collect,Delayed
201,213,Yodel,2024-10-22,2024-10-23,Standard,Delivered
202,214,Yodel,2024-06-09,2024-06-11,Next Day,Delivered
203,215,Royal Mail,2024-01-30,2024-01-31,Next Day,In Transit
204,216,DPD,2024-10-17,2024-10-18,Next Day,In Transit
205,217,Yodel,2025-06-03,2025-06-04,Next Day,Delayed
206,218,Royal Mail,2024-12-22,2024-12-24,Standard,Delivered
207,219,Evri,2024-10-03,2024-10-04,Click & Collect,Delivered
208,220,Yodel,2025-05-06,2025-05-07,Click & Collect,Delivered
209,221,Yodel,2025-12-06,2025-12-08,Standard,Delivered
210,222,DPD,2024-07-02,2024-07-03,Next Day,Delayed
211,223,Royal Mail,2025-12-10,2025-12-13,Click & Collect,In Transit
212,224,Evri,2025-11-18,2025-11-19,Next Day,Delivered
213,225,DPD,2024-10-29,2024-11-02,Click & Collect,Delayed
214,226,DPD,2024-02-19,,Standard,Delivered
215,227,Royal Mail,2024-01-17,2024-01-20,Standard,Delivered
216,228,Yodel,2025-10-02,,Click & Collect,Delivered
217,229,Yodel,2025-07-04,,Next Day,Delivered
218,230,Yodel,2025-04-01,2025-04-04,Click & Collect,Delayed
219,231,Evri,2025-11-16,2025-11-17,Next Day,Delayed
220,232,Evri,2024-09-21,2024-09-24,Click & Collect,Delivered
221,233,DPD,2024-10-26,2024-10-27,Click & Collect,Delivered
222,234,Royal Mail,2024-06-18,2024-06-19,Standard,Delayed
223,235,Yodel,2025-07-25,2025-07-27,Standard,Delivered
224,236,Evri,2024-10-04,2024-10-06,Click & Collect,Delivered
225,237,Yodel,2025-07-28,2025-07-29,Click & Collect,In Transit
226,238,Yodel,2024-09-14,2024-09-15,Next Day,Delivered
227,239,Evri,2024-09-16,2024-09-19,Standard,In Transit
228,240,Royal Mail,2024-11-21,2024-11-24,Click & Collect,Delivered
229,241,DPD,2025-01-06,,Next Day,Delivered
230,242,DPD,2025-09-25,2025-09-27,Standard,Delivered
231,243,DPD,2025-09-28,2025-09-29,Standard,Delayed
232,244,Royal Mail,2025-05-11,2025-05-12,Standard,Delivered
233,245,DPD,2025-04-12,2025-04-13,Next Day,Delayed
234,246,Evri,2025-11-19,,Next Day,Delivered
235,247,DPD,2025-07-29,2025-07-30,Click & Collect,In Transit
236,248,Yodel,2024-10-31,2024-11-02,Next Day,Delivered
237,249,Yodel,2024-03-20,2024-03-26,Click & Collect,Delayed
238,251,Evri,2025-10-03,2025-10-04,Standard,Delivered
239,252,DPD,2025-07-04,2025-07-06,Click & Collect,Delivered
240,253,Royal Mail,2024-05-22,,Click & Collect,Delivered
241,254,Royal Mail,2026-01-03,,Next Day,Delayed
242,255,Royal Mail,2025-01-23,2025-01-28,Standard,In Transit
243,256,DPD,2024-11-28,2024-11-30,Next Day,Delivered
244,257,Evri,2025-11-11,,Click & Collect,Delivered
245,258,Yodel,2025-09-04,2025-09-05,Next Day,Delayed
246,259,Yodel,2025-04-05,2025-04-06,Standard,Delivered
247,260,Royal Mail,2025-07-03,2025-07-06,Next Day,Delivered
248,261,Yodel,2024-06-09,2024-06-12,Next Day,In Transit
249,262,Evri,2024-06-19,2024-06-20,Click & Collect,Delivered
250,263,Royal Mail,2025-07-16,2025-07-18,Click & Collect,Delivered
251,264,Royal Mail,2025-03-07,2025-03-08,Standard,Delivered
252,265,Yodel,2025-08-13,2025-08-16,Next Day,Delivered
253,266,Yodel,2024-10-21,2024-10-22,Next Day,Delivered
254,268,DPD,2024-11-13,2024-11-14,Next Day,Delivered
255,269,Royal Mail,2024-06-04,2024-06-06,Click & Collect,In Transit
256,270,Yodel,2025-03-07,2025-03-11,Click & Collect,Delivered
257,271,Royal Mail,2025-11-23,2025-11-24,Next Day,Delivered
258,272,Evri,2024-03-11,2024-03-12,Click & Collect,Delivered
259,273,Royal Mail,2025-10-24,2025-10-25,Click & Collect,Delivered
260,275,Royal Mail,2024-11-25,,Click & Collect,Delivered
261,276,DPD,2025-01-15,2025-01-16,Standard,In Transit
262,277,DPD,2024-08-07,2024-08-09,Standard,Delivered
263,279,Evri,2025-12-15,,Click & Collect,Delivered
264,281,Royal Mail,2025-01-23,2025-01-27,Click & Collect,Delivered
265,282,Yodel,2024-02-28,2024-03-01,Click & Collect,In Transit
266,283,Evri,2025-12-02,2025-12-04,Standard,Delivered
267,284,Royal Mail,2024-02-12,,Click & Collect,Delivered
268,285,DPD,2025-12-10,2025-12-13,Next Day,Delivered
269,286,DPD,2025-06-02,2025-06-04,Standard,Delivered
270,287,Royal Mail,2025-05-31,2025-06-01,Next Day,Delivered
271,288,Evri,2025-08-13,2025-08-14,Next Day,Delayed
272,289,Yodel,2025-12-01,2025-12-04,Standard,Delivered
273,290,Evri,2024-05-20,2024-05-24,Click & Collect,Delivered
274,291,Royal Mail,2024-12-12,2024-12-13,Standard,Delayed
275,292,Evri,2025-07-20,2025-07-26,Click & Collect,In Transit
276,293,DPD,2024-04-16,2024-04-17,Next Day,Delivered
277,294,Royal Mail,2025-07-28,,Standard,Delivered
278,295,DPD,2024-03-22,2024-03-26,Standard,In Transit
279,296,Yodel,2025-01-27,2025-01-30,Next Day,Delayed
280,297,Yodel,2024-10-02,2024-10-05,Click & Collect,Delayed
281,298,Evri,2024-12-31,2025-01-01,Standard,Delivered
282,299,Yodel,2024-06-24,2024-06-25,Standard,In Transit
283,300,DPD,2025-05-28,2025-05-29,Next Day,Delivered
284,301,Yodel,2024-04-19,2024-04-22,Standard,Delivered
285,302,DPD,2025-02-18,2025-02-20,Click & Collect,Delivered
286,303,Evri,2025-10-19,2025-10-20,Standard,Delivered
287,304,DPD,2024-06-10,2024-06-12,Click & Collect,Delivered
288,305,Royal Mail,2025-04-11,2025-04-12,Click & Collect,Delayed
289,306,Yodel,2024-05-07,2024-05-10,Click & Collect,Delivered
290,307,Evri,2024-09-14,2024-09-15,Standard,Delivered
291,308,Royal Mail,2024-12-22,2024-12-23,Click & Collect,Delivered
292,309,DPD,2024-07-20,2024-07-21,Next Day,In Transit
293,310,Royal Mail,2025-12-02,2025-12-04,Next Day,Delivered
294,311,Yodel,2024-11-27,2024-11-28,Click & Collect,Lost
295,313,Evri,2025-07-22,2025-07-24,Standard,Delivered
296,314,Evri,2025-04-10,2025-04-11,Next Day,Delayed
297,316,Evri,2025-10-25,,Standard,Delivered
298,317,Royal Mail,2024-03-27,2024-03-28,Next Day,Lost
299,318,Yodel,2026-01-02,2026-01-04,Click & Collect,Delivered
300,319,Royal Mail,2024-04-20,2024-04-21,Standard,In Transit
301,320,Yodel,2025-02-11,2025-02-12,Click & Collect,Delivered
302,321,DPD,2024-09-27,2024-09-28,Click & Collect,Delivered
303,323,Evri,2025-09-26,2025-09-30,Next Day,In Transit
304,324,Royal Mail,2024-11-24,2024-11-30,Click & Collect,Delivered
305,325,Royal Mail,2025-11-17,2025-11-18,Next Day,Lost
306,326,Yodel,2024-04-21,2024-04-24,Standard,Lost
307,327,Evri,2024-03-21,2024-03-23,Next Day,Delivered
308,328,Royal Mail,2024-03-23,2024-03-24,Click & Collect,In Transit
309,330,Royal Mail,2024-03-03,2024-03-04,Standard,Delivered
310,331,DPD,2024-06-15,2024-06-16,Next Day,Delayed
311,332,Evri,2025-09-04,2025-09-05,Standard,Delivered
312,333,Evri,2025-07-12,2025-07-14,Standard,Delivered
313,334,Royal Mail,2025-02-16,2025-02-21,Click & Collect,Delivered
314,336,Royal Mail,2024-06-17,2024-06-19,Click & Collect,Delivered
315,337,Evri,2024-12-04,2024-12-06,Standard,Delivered
316,338,Royal Mail,2025-02-28,2025-03-03,Click & Collect,Delivered
317,339,Yodel,2025-12-02,2025-12-03,Click & Collect,In Transit
318,340,Royal Mail,2024-03-14,2024-03-15,Standard,Delivered
319,341,Royal Mail,2024-11-02,2024-11-04,Standard,Delivered
320,342,DPD,2025-03-08,2025-03-09,Next Day,Delivered
321,343,Royal Mail,2025-02-06,2025-02-07,Click & Collect,Delayed
322,344,Royal Mail,2024-12-25,2024-12-27,Standard,Delayed
323,345,DPD,2025-12-28,2025-12-30,Next Day,Delivered
324,346,DPD,2024-12-17,2024-12-20,Standard,Delivered
325,347,Evri,2024-04-10,,Click & Collect,Delivered
326,348,Evri,2024-06-07,2024-06-09,Next Day,In Transit
327,349,Royal Mail,2024-04-23,2024-04-26,Next Day,Delivered
328,350,Yodel,2024-10-04,2024-10-05,Standard,Delivered
329,351,Evri,2025-11-08,2025-11-10,Standard,Delivered
330,352,Evri,2024-08-18,2024-08-19,Next Day,Delivered
331,353,Evri,2024-09-17,2024-09-18,Standard,Delivered
332,354,Royal Mail,2025-04-25,2025-04-26,Next Day,Delivered
333,355,Royal Mail,2025-07-15,2025-07-18,Next Day,Delivered
334,356,Yodel,2024-08-30,2024-08-31,Standard,Delivered
335,357,Evri,2025-08-29,,Click & Collect,Delivered
336,358,Evri,2025-05-05,2025-05-06,Click & Collect,Delayed
337,359,Yodel,2025-01-01,2025-01-02,Standard,Delivered
338,360,Yodel,2025-05-16,2025-05-17,Click & Collect,Delivered
339,361,Evri,2025-10-25,2025-10-28,Click & Collect,Delivered
340,362,Royal Mail,2024-10-24,2024-10-25,Standard,Delivered
341,363,Royal Mail,2025-07-17,2025-07-18,Next Day,Delayed
342,364,Yodel,2025-06-30,2025-07-05,Next Day,Delivered
343,365,Evri,2025-08-21,2025-08-23,Standard,Delivered
344,366,Royal Mail,2024-05-16,2024-05-20,Next Day,Delivered
345,367,Evri,2024-10-12,2024-10-14,Click & Collect,In Transit
346,368,Royal Mail,2025-04-28,2025-04-30,Next Day,Delayed
347,369,Evri,2024-04-29,2024-05-02,Next Day,Delivered
348,370,Royal Mail,2025-11-11,2025-11-12,Click & Collect,Delivered
349,371,Yodel,2025-06-20,2025-06-23,Click & Collect,Delivered
350,372,Royal Mail,2025-07-30,2025-08-01,Next Day,Delivered
351,373,DPD,2025-08-02,2025-08-03,Click & Collect,Delivered
352,374,DPD,2025-03-10,2025-03-13,Standard,Delivered
353,375,Yodel,2024-06-05,2024-06-10,Click & Collect,In Transit
354,376,DPD,2024-04-08,2024-04-09,Next Day,Delivered
355,377,Evri,2025-01-22,2025-01-23,Standard,Delivered
356,378,Royal Mail,2025-04-06,2025-04-07,Click & Collect,Delivered
357,379,Evri,2024-10-08,2024-10-09,Next Day,In Transit
358,380,DPD,2024-03-02,2024-03-03,Next Day,Delivered
359,381,Royal Mail,2025-11-05,2025-11-06,Next Day,Delivered
360,382,Evri,2026-01-01,2026-01-02,Next Day,Delivered
361,383,DPD,2024-12-08,2024-12-11,Standard,Delayed
362,384,Evri,2024-08-02,,Next Day,Delivered
363,385,Evri,2025-11-24,2025-11-25,Click & Collect,Delivered
364,386,DPD,2024-02-23,2024-02-25,Next Day,In Transit
365,387,Yodel,2025-08-30,2025-09-02,Click & Collect,Delivered
366,388,DPD,2025-06-01,2025-06-04,Standard,Delayed
367,389,DPD,2025-08-01,2025-08-04,Next Day,Delayed
368,390,DPD,2024-08-04,2024-08-07,Click & Collect,Delivered
369,391,Yodel,2025-08-09,2025-08-11,Next Day,Delivered
370,392,Evri,2024-01-04,2024-01-07,Next Day,In Transit
371,393,DPD,2024-10-04,2024-10-06,Standard,Delivered
372,394,DPD,2024-06-07,2024-06-08,Next Day,Delivered
373,395,Evri,2024-07-01,2024-07-02,Next Day,Delivered
374,396,Evri,2025-12-31,2026-01-02,Click & Collect,Delivered
375,397,Evri,2025-02-27,,Standard,Delivered
376,398,Royal Mail,2024-12-07,2024-12-08,Next Day,Delivered
377,399,Evri,2024-12-19,2024-12-21,Click & Collect,Delivered
378,400,DPD,2025-10-29,2025-10-30,Next Day,Delivered
379,401,Evri,2024-09-01,2024-09-05,Click & Collect,Delivered
380,402,Yodel,2025-10-08,2025-10-09,Next Day,Delivered
381,403,Yodel,2025-03-24,2025-03-25,Next Day,Delayed
382,404,Royal Mail,2025-06-14,2025-06-16,Click & Collect,In Transit
383,405,DPD,2024-03-11,2024-03-12,Click & Collect,Delivered
384,406,Yodel,2024-11-05,,Next Day,Delivered
385,407,Evri,2025-11-25,2025-11-26,Click & Collect,Delivered
386,408,DPD,2024-09-10,2024-09-11,Click & Collect,Delivered
387,409,Royal Mail,2025-02-05,2025-02-07,Standard,Delivered
388,410,Royal Mail,2025-03-25,2025-03-27,Next Day,Delivered
389,411,Yodel,2024-08-01,2024-08-02,Click & Collect,Delayed
390,412,Royal Mail,2025-11-05,2025-11-06,Click & Collect,Delivered
391,413,Evri,2024-12-14,2024-12-15,Next Day,Delivered
392,414,Royal Mail,2025-08-15,2025-08-18,Standard,Delivered
393,415,Evri,2025-09-11,2025-09-12,Next Day,Delivered
394,416,Royal Mail,2024-03-24,,Click & Collect,Delayed
395,417,Yodel,2024-04-02,2024-04-03,Standard,Delivered
396,418,Royal Mail,2025-05-22,2025-05-23,Next Day,Delivered
397,419,Royal Mail,2024-03-15,2024-03-16,Standard,Delivered
398,420,Yodel,2025-10-08,2025-10-09,Next Day,Delivered
399,421,Evri,2025-04-24,2025-04-25,Click & Collect,Delivered
400,422,Evri,2025-01-16,2025-01-17,Click & Collect,Delivered
401,423,DPD,2024-12-31,2025-01-02,Standard,Delivered
402,424,DPD,2024-01-29,2024-01-30,Next Day,Delivered
403,425,Evri,2025-08-27,2025-08-29,Standard,Delayed
404,426,Yodel,2024-09-09,2024-09-10,Standard,Delivered
405,427,Yodel,2025-01-12,2025-01-13,Standard,Delivered
406,428,Royal Mail,2024-04-15,2024-04-18,Standard,In Transit
407,429,Royal Mail,2024-03-20,2024-03-21,Click & Collect,Delayed
408,430,Yodel,2025-08-09,2025-08-10,Standard,Delivered
409,431,Evri,2024-05-08,2024-05-09,Standard,Delivered
410,432,Royal Mail,2024-11-08,2024-11-10,Click & Collect,Delivered
411,433,Yodel,2025-10-24,2025-10-26,Click & Collect,Delivered
412,434,Royal Mail,2024-11-17,2024-11-19,Next Day,In Transit
413,435,Royal Mail,2025-03-20,2025-03-22,Standard,Delivered
414,436,DPD,2025-11-06,2025-11-09,Standard,Delayed
415,437,DPD,2025-07-03,2025-07-05,Standard,Delivered
416,438,Evri,2024-11-10,2024-11-11,Click & Collect,Delivered
417,441,DPD,2025-12-28,2025-12-29,Click & Collect,Delayed
418,442,Royal Mail,2025-04-06,2025-04-08,Click & Collect,Delivered
419,443,DPD,2024-12-17,2024-12-18,Standard,Delayed
420,444,DPD,2025-01-10,,Next Day,Delivered
421,445,Yodel,2025-02-08,2025-02-11,Next Day,Delivered
422,446,Royal Mail,2025-12-17,2025-12-19,Standard,Delivered
423,447,Evri,2024-09-17,2024-09-18,Click & Collect,Delivered
